# DCS_Hosts.txt downloaded from http://www.pistar.uk/downloads/DCS_Hosts.txt
# DCS Hosts resolved from xreflector.net DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Tuesday 10th of July 2018 08:13:04 PM BST
#
DCS000	23.111.174.198
#DCS001	77.57.24.143
#DCS002	140.82.62.162
#DCS003	173.199.124.183
#DCS004	44.103.34.3
DCS005	87.117.229.174
#DCS006	34.213.176.201
DCS007	212.227.203.37
#DCS008	45.77.153.132
DCS010	85.197.129.86
DCS011	81.95.126.168
DCS012	194.38.140.205
DCS014	52.63.223.130
DCS015	213.202.228.119
DCS017	85.214.78.198
DCS019	31.7.247.58
#DCS022	83.137.45.98
#DCS024	94.199.173.123
#DCS025	89.38.150.252
DCS026	65.175.188.230
#DCS029	80.123.238.76
DCS030	194.59.177.44
DCS032	158.64.26.140
DCS033	46.226.178.81
DCS035	45.79.94.184
DCS038	5.249.151.111
DCS039	31.14.142.119
DCS040	109.71.45.29
DCS046	176.10.140.161
DCS047	202.171.147.58
DCS049	212.71.234.224
DCS050	80.211.155.206
DCS051	93.186.254.219
DCS052	121.119.96.205
DCS053	185.97.120.120
DCS054	52.86.180.251
DCS055	52.80.4.154
DCS057	74.193.217.15
DCS058	118.110.251.54
DCS059	18.219.32.21
DCS060	212.237.36.181
DCS064	122.222.1.50
DCS067	77.229.104.173
DCS068	92.222.145.202
DCS071	211.60.41.185
DCS072	75.60.237.17
DCS074	212.237.211.82
DCS076	203.137.116.117
DCS077	216.21.9.156
DCS078	109.15.57.11
DCS080	121.81.128.207
DCS081	121.82.151.243
DCS083	185.205.210.217
DCS085	113.150.26.8
DCS087	44.137.36.209
DCS088	194.109.192.235
DCS089	194.109.192.236
DCS090	91.92.136.252
DCS093	82.51.162.200
DCS095	203.137.76.53
DCS097	80.211.154.173
DCS098	203.136.233.165
DCS099	80.211.27.75
DCS100	45.62.233.223
DCS101	64.137.236.164
DCS102	23.111.174.196
DCS103	64.137.224.126
DCS104	23.111.174.197
DCS105	51.254.99.78
DCS109	182.168.128.138
DCS110	150.7.164.10
DCS111	61.195.96.160
DCS112	94.177.235.81
DCS113	151.12.36.103
DCS114	5.135.188.16
DCS115	217.182.128.3
DCS118	5.249.148.252
DCS119	125.129.207.86
DCS120	81.150.10.63
DCS121	174.37.249.156
DCS124	211.14.169.234
DCS125	213.181.208.52
DCS129	220.209.106.220
DCS130	194.59.177.45
DCS131	80.127.118.226
DCS132	91.203.55.87
DCS135	74.208.214.69
DCS140	95.211.211.145
DCS145	178.59.23.138
DCS147	46.41.1.127
DCS150	80.211.10.212
DCS158	150.66.16.176
DCS160	61.195.109.179
DCS170	210.178.113.173
DCS171	210.178.113.123
DCS175	162.248.92.25
DCS180	192.241.240.7
DCS185	89.106.108.151
DCS199	153.126.179.214
DCS204	85.214.126.111
DCS206	193.190.240.227
DCS208	151.80.155.39
DCS210	64.137.224.107
DCS212	52.38.90.188
DCS214	185.47.129.230
DCS216	74.214.25.135
DCS220	124.41.83.11
DCS222	212.43.96.84
DCS224	203.137.99.97
DCS226	2.226.183.226
DCS227	89.33.44.100
DCS228	83.77.104.52
DCS229	194.191.4.54
DCS230	80.250.3.114
DCS232	89.185.97.35
DCS241	151.80.158.227
DCS242	73.14.84.43
DCS246	172.93.48.159
DCS255	142.91.158.199
DCS258	75.60.237.19
DCS262	92.192.107.54
DCS263	85.214.193.146
DCS264	52.2.131.118
DCS266	212.237.51.82
DCS268	194.38.140.204
DCS270	158.64.26.132
DCS272	200.231.36.188
DCS284	95.158.165.32
DCS287	43.245.172.2
DCS290	44.182.7.20
DCS291	101.143.242.189
DCS298	220.144.59.222
DCS299	203.86.194.92
DCS300	45.62.244.43
DCS302	144.217.241.23
DCS303	75.70.52.143
DCS305	145.239.116.57
DCS307	72.21.76.154
DCS310	52.11.207.121
DCS311	46.41.0.214
DCS312	192.241.160.183
DCS313	34.213.108.164
DCS315	65.101.7.50
DCS317	44.48.8.15
DCS321	31.207.110.45
DCS328	212.237.33.114
DCS329	114.181.139.32
DCS330	18.222.199.205
DCS332	188.213.168.99
DCS333	194.116.29.73
DCS334	96.47.95.121
DCS336	23.226.233.133
DCS345	45.62.237.34
DCS352	35.230.162.146
DCS358	93.152.167.4
DCS359	94.156.172.213
DCS360	222.229.25.105
DCS364	159.65.231.53
DCS365	59.139.141.204
DCS370	188.213.168.24
DCS371	212.237.8.77
DCS373	58.189.49.139
DCS374	61.195.108.146
DCS376	75.145.119.225
DCS379	104.218.36.162
DCS380	160.16.65.39
DCS382	211.131.19.200
DCS388	138.197.67.52
DCS389	106.71.198.27
DCS390	149.7.214.253
DCS393	139.91.200.186
DCS399	185.227.110.247
DCS400	13.58.192.185
DCS404	91.229.143.187
DCS410	166.78.145.146
DCS411	82.171.119.45
DCS412	61.195.107.113
DCS420	174.138.113.116
DCS421	118.189.181.236
DCS431	61.195.98.225
DCS433	217.160.22.17
DCS434	51.254.128.134
DCS440	153.133.72.142
DCS441	203.137.99.110
DCS444	188.68.37.51
DCS449	159.89.183.117
DCS450	64.137.224.233
DCS454	168.70.74.137
DCS455	208.71.169.83
DCS456	54.37.204.187
DCS464	52.192.129.174
DCS470	104.49.29.243
DCS477	139.162.213.89
DCS479	198.58.106.10
DCS486	51.255.172.249
DCS499	203.137.76.22
DCS500	58.96.21.253
DCS501	198.211.98.63
DCS502	104.143.94.48
DCS505	45.248.50.37
DCS506	121.200.19.211
DCS508	185.188.4.15
DCS511	213.172.232.13
DCS515	203.137.78.35
DCS518	176.9.1.168
DCS519	167.114.104.65
DCS520	119.59.125.192
DCS521	150.129.184.54
DCS522	14.102.146.160
DCS525	80.211.68.38
DCS530	116.251.193.99
DCS538	124.41.76.58
DCS544	210.131.32.240
DCS550	89.36.222.146
DCS551	182.167.49.77
DCS554	52.35.183.178
DCS555	210.86.135.13
DCS569	203.137.111.98
DCS583	183.76.149.208
DCS587	68.32.126.21
DCS595	220.146.23.42
DCS599	203.137.118.190
DCS600	13.69.14.204
DCS601	51.141.52.193
DCS602	212.56.100.200
DCS603	216.246.155.99
DCS604	139.162.241.24
DCS605	183.76.179.238
DCS608	219.122.253.83
DCS610	89.186.80.81
DCS613	198.50.202.39
DCS619	167.99.168.82
DCS626	45.77.234.162
DCS627	121.75.75.200
DCS634	180.46.54.237
DCS655	146.64.235.19
DCS666	86.188.14.232
DCS673	180.147.243.178
DCS684	212.237.17.83
DCS689	97.107.128.47
DCS699	82.102.5.239
DCS701	61.195.107.77
DCS703	61.195.98.254
DCS704	150.66.34.110
DCS706	93.186.255.126
DCS707	90.145.156.196
DCS708	202.218.37.62
DCS709	212.237.34.32
DCS712	124.86.129.12
DCS713	218.251.63.99
DCS714	81.169.140.163
DCS717	44.137.70.100
DCS724	189.20.209.70
DCS725	172.245.9.180
DCS732	190.159.68.105
DCS733	45.56.117.158
