# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Tuesday 10th of July 2018 08:12:16 PM BST
REF000	23.111.174.198
REF001	104.237.157.7
REF002	129.93.2.132
REF003	203.194.18.195
REF004	74.204.50.19
REF005	192.3.202.53
REF006	78.158.56.61
REF007	208.111.3.180
REF008	58.12.161.10
REF009	204.89.198.18
REF010	12.178.74.6
REF011	195.78.217.101
REF012	209.112.244.26
REF013	109.69.104.195
REF014	64.250.229.185
REF015	109.69.104.196
REF016	67.210.212.136
REF017	80.69.86.233
REF018	187.50.254.20
REF019	209.242.228.27
REF020	50.199.88.20
REF021	192.3.202.54
REF022	52.32.64.78
REF023	103.1.213.18
REF024	69.41.0.15
REF025	107.161.29.191
REF026	206.12.104.8
REF027	194.116.29.72
REF028	193.190.240.229
REF029	129.123.3.6
REF030	18.221.55.237
REF031	79.136.93.241
REF032	95.160.56.46
REF033	208.67.255.202
REF034	74.81.71.218
REF035	146.129.247.243
REF036	195.194.238.109
REF037	208.111.3.181
REF038	66.6.171.227
REF039	208.93.191.20
REF040	94.46.216.197
REF041	129.105.15.195
REF042	151.249.104.38
REF043	176.10.140.189
REF044	208.43.162.89
REF045	195.251.201.214
REF046	208.111.3.182
REF047	157.7.142.13
REF048	208.88.66.244
REF049	72.249.9.66
REF050	75.147.26.195
REF051	50.57.153.17
REF052	12.5.239.46
REF053	216.243.174.245
REF054	52.86.120.0
REF055	207.251.62.205
REF056	45.56.113.164
REF057	173.216.181.178
REF058	131.204.255.253
REF059	104.131.247.122
REF060	50.194.6.1
REF061	204.152.199.103
REF062	70.88.145.165
REF063	66.207.131.4
REF064	61.195.99.81
REF065	162.255.169.90
REF066	173.255.196.45
REF067	44.34.128.167
REF068	92.222.145.197
REF069	70.91.220.113
REF070	44.10.10.20
REF071	61.195.97.218
REF072	96.92.65.12
REF073	68.67.124.145
REF074	68.67.124.146
REF075	51.254.220.4
REF076	203.137.112.200
REF077	173.247.7.23
REF078	204.15.204.154
REF079	62.255.210.254
REF080	82.223.13.53
REF081	172.104.92.125
REF082	106.240.237.114
REF083	168.235.103.26
REF084	51.254.120.143
REF085	203.74.132.35
REF086	216.126.220.245
REF088	194.109.192.235
REF089	194.109.192.236
REF090	91.92.136.252
REF092	212.237.30.36
REF095	203.137.76.53
REF098	111.169.16.250
REF099	80.211.27.75
REF101	45.62.213.101
REF102	23.111.174.196
REF103	64.137.224.126
REF104	23.111.174.197
REF105	51.254.99.78
REF109	182.168.101.180
REF110	150.7.164.10
REF111	61.195.96.160
REF113	151.12.36.103
REF114	5.135.188.16
REF115	217.182.128.3
REF116	31.185.101.211
REF118	5.249.148.252
REF119	125.129.207.86
REF120	81.150.10.63
REF121	174.37.249.156
REF122	83.137.45.100
REF124	211.14.169.234
REF125	213.181.208.52
REF129	219.116.28.227
REF130	194.59.177.45
REF131	80.127.118.226
REF132	91.203.55.87
REF134	159.89.176.86
REF145	178.59.23.138
REF147	46.41.1.127
REF150	80.211.10.212
REF170	210.178.113.173
REF171	121.162.91.45
REF180	192.241.240.7
REF199	153.126.179.214
REF202	148.251.122.251
REF204	185.85.18.162
REF206	193.190.240.227
REF208	151.80.155.39
REF210	64.137.224.107
REF212	52.38.90.188
REF214	185.47.129.230
REF215	185.87.96.172
REF216	74.214.25.135
REF220	124.41.83.11
REF222	212.43.96.84
REF224	203.137.99.97
REF226	94.176.6.37
REF228	188.60.43.206
REF229	194.191.4.54
REF230	80.250.3.114
REF232	89.185.97.35
REF235	5.150.254.97
REF238	172.104.239.219
REF241	151.80.158.227
REF242	73.14.84.43
REF246	172.93.48.159
REF263	85.214.193.146
REF264	52.2.131.118
REF266	212.237.51.82
REF268	194.38.140.204
REF270	158.64.26.132
REF282	210.188.25.17
REF284	95.158.165.32
REF290	94.176.6.45
REF291	101.143.242.189
REF295	64.137.160.185
REF298	119.238.135.207
REF299	125.236.227.43
REF300	45.62.244.43
REF302	144.217.241.23
REF307	72.21.76.154
REF310	52.11.207.121
REF313	34.213.108.164
REF315	65.101.7.50
REF317	44.48.8.15
REF321	31.207.110.45
REF328	212.237.33.114
REF332	188.213.168.99
REF333	194.116.29.73
REF334	96.47.95.121
REF335	185.206.145.2
REF336	23.226.233.133
REF339	198.98.53.247
REF345	45.62.237.34
REF357	52.39.82.54
REF359	94.156.172.213
REF360	222.229.25.105
REF365	59.139.141.204
REF370	188.213.168.24
REF371	212.237.8.77
REF373	101.143.25.116
REF374	61.195.108.146
REF376	75.145.119.225
REF380	160.16.65.39
REF382	211.131.185.61
REF388	138.197.67.52
REF389	106.70.187.224
REF390	149.7.214.253
REF400	13.58.192.185
REF404	91.229.143.187
REF410	166.78.156.246
REF412	61.195.107.113
REF431	61.195.98.225
REF433	217.160.22.17
REF434	51.254.128.134
REF440	114.161.161.90
REF441	203.137.99.110
REF444	188.68.37.51
REF449	159.89.183.117
REF450	64.137.224.233
REF454	221.125.255.216
REF456	54.37.204.187
REF464	52.192.129.174
REF470	104.49.29.243
REF477	139.162.213.89
REF486	51.255.172.249
REF499	203.137.76.22
REF500	172.104.32.192
REF502	190.148.222.28
REF505	45.248.50.37
REF508	185.188.4.15
REF511	84.52.159.10
REF515	133.130.114.45
REF518	176.9.1.168
REF519	167.114.104.65
REF520	119.59.125.192
REF521	150.129.184.54
REF522	14.102.146.160
REF525	176.65.95.90
REF538	133.218.172.211
REF544	210.131.32.240
REF550	94.177.240.69
REF554	52.35.183.178
REF555	64.137.186.11
REF567	212.91.156.69
REF569	203.137.111.98
REF583	116.70.242.224
REF595	175.179.56.111
REF600	13.69.14.204
REF601	51.141.52.193
REF602	212.56.100.200
REF603	216.10.169.35
REF608	219.122.253.83
REF610	89.186.80.81
REF626	202.137.244.157
REF634	61.199.25.130
REF655	146.64.235.19
REF666	54.144.216.63
REF673	180.147.243.178
REF684	212.237.17.83
REF689	97.107.128.47
REF698	85.197.129.86
REF699	82.102.5.239
REF700	78.47.222.93
REF701	61.195.107.77
REF703	61.195.98.254
REF706	93.186.255.126
REF707	90.145.156.196
REF708	202.218.37.62
REF709	212.237.34.32
REF711	212.237.18.27
REF712	180.11.74.19
REF714	85.214.119.76
REF717	44.137.70.100
REF722	80.211.2.161
REF724	75.99.228.35
REF730	186.64.123.59
REF732	190.159.68.105
REF733	45.56.117.158
REF735	104.131.81.32
REF737	195.130.75.246
REF740	173.208.200.180
REF746	178.254.34.44
REF747	87.147.133.4
REF748	64.137.197.36
REF752	66.154.105.195
REF755	178.22.148.229
REF766	201.62.48.61
REF773	94.177.175.230
REF775	149.202.61.17
REF776	218.221.163.75
REF777	194.182.66.76
REF781	101.143.242.199
REF787	46.41.1.96
REF789	45.33.119.142
REF794	101.143.242.95
REF801	213.47.71.17
REF803	77.117.38.125
REF806	92.105.198.59
REF808	18.220.252.27
REF810	64.137.238.189
REF812	203.145.233.141
REF813	97.76.81.165
REF828	195.225.116.244
REF844	137.226.79.122
REF850	88.198.94.77
REF860	80.81.9.242
REF870	103.3.234.95
REF878	203.137.123.113
REF883	153.185.38.99
REF886	118.163.103.178
REF887	118.163.103.177
REF888	95.239.164.147
REF893	103.235.127.147
REF900	94.177.237.192
REF903	80.211.29.226
REF906	212.237.11.53
REF907	88.11.249.48
REF908	92.222.23.124
REF909	216.86.147.198
REF910	94.177.207.26
REF911	5.196.73.89
REF912	80.211.1.143
REF919	80.211.232.174
REF921	44.143.184.83
REF922	81.150.10.62
REF925	90.255.232.101
REF929	158.69.166.132
REF930	94.177.160.5
REF931	71.120.181.98
REF933	164.132.104.167
REF935	188.213.166.199
REF940	202.218.37.121
REF944	202.218.34.210
REF945	155.94.147.186
REF950	158.64.26.134
REF964	52.173.142.244
REF972	46.121.158.50
REF973	211.14.169.43
REF974	94.177.217.52
REF975	176.31.161.9
REF986	81.89.102.160
REF987	185.32.183.148
REF989	50.27.131.75
REF990	35.164.237.63
REF991	2.237.27.66
REF995	158.69.201.255
REF996	47.104.177.248
REF997	94.177.187.40
REF998	44.140.236.20
REF999	94.177.173.53
W5DRA	75.66.21.213
4O0LPG	89.188.45.102
9A0DOS	77.217.166.68
9A0DRI	83.184.125.202
9A0DST	83.178.253.62
9A0DZG	78.134.209.194
AA4PP	208.54.85.173
BR2SY	223.100.16.100
CQ0DAM	94.63.182.214
CQ0DCH	2.83.253.219
CQ0DLR	213.13.57.41
CQ0DPF	95.94.111.92
CQ0DSE	37.28.237.153
CQ0DTV	2.82.184.21
CQ0DVI	94.132.206.63
CQ1DAH	95.69.107.146
DB0AB	188.194.155.4
DB0AFZ	92.50.67.6
DB0AMK	217.235.18.26
DB0BLB	91.35.33.79
DB0BS	134.19.115.94
DB0CI	79.249.33.248
DB0DAM	194.94.26.157
DB0DB	185.70.220.35
DB0DBN	91.21.102.204
DB0DJ	217.92.28.60
DB0DLR	109.41.80.150
DB0DOS	131.173.32.247
DB0DRB	88.207.202.202
DB0EAT	92.210.130.60
DB0EIS	88.152.157.186
DB0ERZ	46.227.221.228
DB0ESS	80.81.9.242
DB0FIB	78.111.116.226
DB0GM	91.19.211.133
DB0GZL	62.226.86.193
DB0HAA	79.201.23.3
DB0HAS	84.189.32.49
DB0HE	109.91.59.80
DB0HEW	89.15.236.164
DB0HFD	178.208.98.198
DB0HFT	194.94.26.189
DB0HGW	87.151.235.12
DB0HRR	84.171.15.17
DB0HUS	79.204.32.126
DB0IZ	87.122.244.143
DB0KOE	212.17.239.121
DB0LBX	185.156.156.157
DB0LJ	87.139.70.67
DB0LY	176.9.53.177
DB0MDX	137.248.151.45
DB0MOT	94.249.222.90
DB0NIC	188.194.116.23
DB0OAL	212.125.105.177
DB0OX	77.21.170.9
DB0PBS	192.26.179.90
DB0POB	87.151.203.58
DB0REU	93.236.57.36
DB0RKD	212.17.239.126
DB0RTV	87.191.151.162
DB0SIF	134.176.128.63
DB0SLF	91.35.62.133
DB0SN	134.76.247.241
DB0SOB	91.61.226.84
DB0TVM	129.187.5.189
DB0UHC	194.97.35.190
DB0VA	178.4.188.175
DB0VOX	141.75.245.244
DB0VS	185.75.164.30
DB0WA	137.226.79.113
DB0WBD	91.38.82.249
DB0WO	194.94.26.157
DB0WTV	93.223.111.117
DB0WZ	80.147.61.209
DB0ZKA	84.128.215.222
DF0MHR	134.91.90.124
DM0BAM	84.186.217.60
